route_id,distance_km,speed_kmph,traffic_level,hour_of_day,day_of_week,previous_eta,actual_eta
3,34.6,33.44,Low,2,1,65.52,63.61
1,15.21,54.52,Low,9,5,15.9,15.5
3,38.0,44.49,High,21,2,82.7,80.57
3,38.59,25.35,High,10,2,145.74,144.14
1,14.65,45.81,High,22,4,29.21,31.43
2,23.57,26.48,High,10,1,83.02,83.96
1,15.03,34.64,Medium,6,3,31.1,33.22
3,38.1,27.1,Low,4,2,80.67,82.88
3,39.3,40.4,Low,13,6,58.56,59.56
2,27.3,48.11,Low,15,3,35.79,34.37
1,14.75,38.04,Low,1,0,25.81,25.13
1,15.86,25.47,Low,8,2,38.43,39.33
3,43.1,25.04,Low,21,2,101.77,102.26
2,23.22,27.73,Medium,7,3,59.76,61.93
3,41.51,54.14,High,11,6,72.36,73.55
1,12.54,28.5,High,6,0,43.74,40.85
1,14.18,31.28,Medium,19,2,33.87,34.99
1,17.1,33.45,Medium,0,2,37.74,39.68
3,30.95,35.98,High,2,0,84.27,83.25
3,43.75,33.45,Low,5,0,80.41,79.8
2,26.59,45.49,Low,13,2,37.57,35.33
3,35.61,28.98,Low,13,6,72.03,74.43
3,34.48,33.59,Low,11,3,60.65,61.34
3,41.78,46.19,Low,13,4,53.75,54.53
3,39.31,41.21,High,22,0,95.06,92.14
2,21.65,36.85,High,14,1,56.57,58.36
2,28.62,49.4,Medium,19,5,43.19,42.22
3,40.02,49.65,High,17,5,79.72,78.45
2,21.79,36.34,High,2,2,55.94,58.91
2,21.21,42.1,High,2,2,47.56,48.28
3,43.96,43.98,Low,5,6,59.66,60.41
3,39.77,44.67,Medium,16,3,64.36,66.02
1,17.89,53.76,High,0,4,32.93,30.87
3,41.42,49.62,Medium,16,0,59.94,61.34
3,42.14,50.22,Low,9,3,46.64,48.96
1,16.38,32.49,Low,17,2,30.6,29.63
2,27.63,30.72,Medium,3,3,65.25,67.73
2,22.31,50.21,Medium,2,2,28.61,31.56
3,42.25,39.59,Medium,5,5,78.73,80.81
1,13.62,50.14,Low,15,4,16.67,14.76
2,22.19,43.94,Medium,1,0,40.07,39.37
2,26.92,39.34,Medium,22,6,50.16,51.45
2,23.69,30.63,Medium,23,2,55.46,56.59
3,40.08,52.3,High,8,6,74.52,72.24
2,20.73,49.08,High,12,4,41.69,41.6
3,43.63,34.72,Medium,22,5,95.6,95.54
3,32.56,43.8,Low,3,4,44.78,43.59
1,14.1,30.28,Low,10,2,31.34,29.48
1,16.02,52.56,Low,13,0,20.25,19.36
1,17.28,36.44,Low,5,4,25.32,27.04
2,22.14,44.91,Low,14,6,28.85,31.41
1,17.13,25.35,Low,21,4,44.53,42.25
3,41.88,45.49,Low,0,0,51.32,54.09
1,16.54,48.09,Medium,8,3,29.95,27.19
1,16.53,53.73,High,9,3,31.23,31.34
1,16.12,47.64,High,8,3,35.27,32.49
2,23.3,45.22,Low,5,5,30.48,30.7
2,23.84,45.77,Low,22,5,28.97,31.44
3,42.43,47.04,Low,7,0,51.98,52.42
1,12.7,37.54,Low,5,6,21.56,20.08
3,34.08,45.94,Low,22,1,47.79,45.9
2,29.92,40.2,High,16,1,72.65,73.14
3,33.55,26.67,Low,13,6,73.74,74.5
1,16.57,38.85,High,8,6,42.94,40.07
3,40.89,31.48,Medium,10,6,98.25,96.57
3,30.87,39.13,Low,2,5,48.0,46.13
1,13.08,35.43,High,18,5,38.12,37.18
1,17.94,45.22,Low,22,1,22.04,22.01
1,16.06,39.28,Medium,15,6,31.44,31.72
3,34.5,48.14,Low,3,3,44.22,42.71
2,26.68,51.78,Low,10,1,30.58,32.37
2,28.28,32.26,Low,18,0,50.4,50.75
2,21.03,54.08,Medium,23,4,28.77,27.59
3,41.84,35.8,Low,23,4,71.07,71.05
2,24.91,35.97,Medium,5,5,53.02,53.62
2,29.72,25.58,High,8,0,110.53,111.5
2,20.13,27.36,Low,12,5,43.73,43.52
2,24.67,45.33,High,11,5,49.15,52.14
3,44.05,45.29,High,16,4,92.93,93.91
1,13.08,52.9,Low,23,5,16.47,13.89
2,28.23,42.24,Low,8,1,37.67,40.32
2,20.69,43.74,Medium,11,0,35.97,34.07
2,20.84,31.51,Medium,3,2,48.79,48.3
1,14.15,42.56,Medium,14,4,25.81,24.52
1,15.65,34.63,Medium,23,5,33.56,32.28
3,41.86,50.24,Low,14,0,47.2,49.34
2,24.2,46.47,Medium,4,0,38.98,39.92
2,21.26,25.6,High,20,2,79.36,79.65
3,43.5,36.68,Medium,1,3,86.44,89.38
3,30.16,45.9,High,18,0,65.74,64.59
1,12.72,42.28,Medium,12,4,25.11,23.04
1,17.86,29.2,Low,4,1,36.11,36.67
3,42.17,50.55,Low,15,2,52.57,51.01
1,12.5,29.46,Low,4,2,21.7,23.94
3,32.19,28.7,High,17,3,112.48,109.64
3,34.58,26.99,Low,15,3,74.24,75.12
1,17.04,51.12,Medium,15,5,26.63,23.94
1,17.71,35.38,Medium,17,0,37.81,36.93
3,40.82,47.83,High,9,5,82.7,81.75
1,12.37,50.79,High,6,6,25.94,23.8
3,43.53,48.06,Low,8,1,54.98,54.23
3,40.82,54.11,Low,2,5,42.98,44.58
1,15.72,46.32,Medium,14,3,22.32,24.09
1,14.01,44.63,Low,8,1,16.28,18.06
3,39.06,35.62,Medium,16,3,86.41,84.0
2,27.72,27.93,Low,0,4,62.05,61.42
1,17.13,37.09,Low,16,1,29.92,29.45
1,14.55,43.65,High,8,1,35.51,33.0
1,12.38,25.66,Medium,5,4,34.59,37.02
1,15.83,29.26,Low,12,4,30.78,31.3
1,17.03,31.72,High,21,1,50.51,50.4
1,16.08,49.38,Low,6,5,17.19,18.14
3,36.88,48.5,Low,19,0,46.71,46.37
2,20.71,25.0,Medium,22,1,64.62,63.35
3,38.91,44.99,High,22,3,85.42,83.86
1,13.52,29.12,Medium,4,5,38.37,36.39
1,13.76,35.42,Low,21,1,24.19,23.06
1,14.46,34.87,Medium,19,0,34.56,31.67
1,17.19,31.6,Low,0,2,29.5,31.06
3,44.53,30.48,Low,12,0,91.91,89.42
3,37.59,49.93,Medium,10,3,59.48,58.26
2,28.31,28.77,Low,5,6,58.64,58.19
2,29.55,43.43,Medium,14,3,50.95,51.54
2,29.08,41.73,Low,5,0,44.51,42.56
3,40.46,35.22,Low,1,0,69.57,68.14
3,35.43,35.43,High,20,0,95.29,97.75
3,41.41,48.84,Medium,2,5,63.36,62.95
3,38.53,51.22,Low,19,2,42.16,45.01
3,40.09,31.69,High,19,3,124.41,123.1
1,17.04,34.1,Low,2,6,29.4,31.84
1,13.75,37.38,Low,0,4,22.31,23.62
3,35.99,37.98,Medium,7,4,73.26,70.65
3,38.33,27.2,Low,3,1,85.51,82.99
3,43.67,39.51,Low,0,2,66.76,65.15
2,23.25,52.09,Low,12,0,30.04,28.74
2,21.1,25.92,Medium,21,3,61.24,62.28
2,23.89,39.79,Medium,21,1,44.16,44.3
1,12.39,37.23,Low,1,0,22.81,21.66
3,40.48,35.08,Medium,11,3,86.1,88.4
1,13.26,36.18,Medium,20,4,27.66,25.98
1,15.17,46.44,Medium,2,5,21.51,23.56
3,33.98,50.22,Medium,21,6,52.83,52.01
1,13.8,35.77,Medium,9,3,29.13,29.18
1,17.01,40.75,Medium,4,6,34.85,33.2
1,13.01,31.53,Low,9,2,23.25,25.41
3,39.99,43.44,Medium,11,6,69.2,68.38
3,34.91,40.21,High,9,6,87.28,84.58
1,14.87,28.15,Medium,19,3,35.97,37.95
2,23.46,40.27,Low,12,0,37.48,35.29
3,33.06,41.39,Medium,15,2,58.55,59.48
2,21.27,53.27,High,6,4,42.45,40.1
3,44.87,53.49,Low,13,5,50.93,50.59
2,27.92,48.25,High,19,5,59.61,57.09
2,27.21,54.9,High,9,4,45.94,46.41
1,15.32,37.37,Low,17,2,27.4,25.41
3,44.56,49.9,Low,19,3,55.52,52.87
2,27.74,50.28,Low,3,2,34.63,34.1
1,12.37,52.65,High,19,3,25.64,24.4
2,21.88,49.96,Low,5,6,25.95,25.3
1,14.88,50.9,Medium,21,4,19.55,20.02
2,20.38,33.56,Low,10,3,32.97,35.84
3,41.67,35.56,Medium,18,1,86.5,87.9
3,40.69,42.64,Low,16,0,57.94,58.67
3,39.62,34.51,Low,23,4,71.69,69.32
2,27.74,40.89,Medium,0,1,50.17,49.65
2,27.98,29.1,Low,13,6,59.1,58.6
1,17.81,51.68,High,20,0,34.53,31.88
1,13.3,28.84,Medium,11,3,36.97,35.39
2,24.41,34.0,High,10,0,69.0,67.93
3,33.61,47.93,Medium,20,1,50.8,51.03
3,38.3,54.06,Medium,12,2,53.05,53.6
1,15.43,29.31,High,5,0,51.18,49.22
3,41.82,25.15,High,11,3,159.55,161.3
1,12.39,39.01,Low,19,6,19.49,19.48
3,42.63,35.74,Low,13,2,70.29,70.78
2,23.22,27.58,Low,14,0,52.48,50.02
3,42.05,45.18,Medium,8,4,72.13,71.5
3,31.02,29.03,Low,13,2,67.38,64.47
3,33.14,36.36,Low,20,3,52.39,54.22
3,37.89,25.67,High,6,5,145.61,143.12
1,15.3,51.45,Low,22,0,15.76,16.7
2,29.38,28.78,Low,5,2,59.13,61.04
2,24.51,42.4,Medium,1,1,43.08,43.02
2,20.81,34.27,Medium,2,4,43.81,44.32
1,13.62,54.0,High,11,5,21.48,23.2
1,14.31,30.71,High,0,4,43.65,42.92
2,25.26,50.1,Low,8,2,31.91,31.15
2,29.26,44.08,Medium,8,0,45.82,48.17
2,29.4,30.3,Low,22,2,58.51,59.88
1,12.77,34.54,Medium,14,5,27.31,28.05
3,38.36,30.5,High,17,3,121.85,121.77
2,29.34,46.79,Medium,12,5,47.46,46.3
3,43.37,51.05,High,23,1,80.09,80.57
2,22.55,35.36,Medium,2,5,50.28,49.79
2,26.83,53.01,Low,6,0,31.17,32.14
2,22.58,46.34,Low,3,3,30.82,30.52
2,26.21,32.83,High,0,0,77.59,75.45
1,17.81,32.05,High,23,6,48.91,51.48
1,15.33,28.06,Low,13,6,36.12,33.36
1,17.35,26.6,Low,17,3,41.37,39.34
3,43.04,36.23,Medium,17,5,87.65,89.74
2,22.05,39.62,Low,12,6,32.43,34.14
3,36.42,39.28,Low,11,0,54.66,55.94
3,34.25,49.14,Low,23,1,39.5,40.21
2,27.58,27.36,Low,8,6,61.06,60.02
1,16.3,40.23,High,23,6,38.17,36.95
3,44.42,29.1,Medium,18,0,115.35,115.36
1,14.36,25.49,High,20,5,58.76,55.92
2,28.31,42.85,Low,20,3,39.44,41.62
3,42.31,40.85,High,19,2,94.91,97.81
2,29.8,32.75,High,16,5,84.46,87.23
1,15.59,48.39,Medium,3,0,26.0,25.17
1,15.03,34.37,High,4,4,41.32,42.81
3,34.63,27.61,High,8,4,119.5,121.02
3,33.34,38.24,Medium,2,2,67.45,65.58
3,44.67,50.42,Low,17,4,53.45,52.37
3,32.21,53.12,Low,16,3,35.41,37.78
3,32.47,39.68,High,1,2,75.73,78.61
3,31.94,40.51,Medium,11,4,60.22,61.04
2,29.34,50.0,Low,23,0,37.59,34.83
3,44.2,30.21,Medium,5,6,109.56,108.62
1,17.57,31.3,High,8,6,50.81,52.89
2,21.17,43.61,Low,15,5,32.03,29.93
2,23.81,25.57,Medium,10,3,68.57,68.02
3,33.13,37.13,High,7,0,86.32,85.1
3,39.63,32.36,Medium,4,6,91.68,92.81
3,32.64,35.85,Low,17,5,57.09,55.31
2,24.31,52.71,Low,6,2,25.21,25.83
1,17.45,37.92,Low,10,3,31.51,28.6
3,42.32,50.33,Low,9,1,48.54,48.52
2,23.77,48.75,High,17,6,45.24,45.39
1,12.73,53.21,Medium,8,0,19.97,17.34
3,36.7,28.89,High,7,4,122.1,123.52
1,12.21,29.11,Medium,7,5,30.86,31.27
3,43.25,36.08,Medium,17,0,85.57,88.26
2,22.48,34.31,High,19,2,59.26,61.99
1,15.02,48.84,Medium,21,0,25.69,22.7
1,17.53,47.34,High,8,0,38.27,35.45
1,15.02,42.66,Low,5,2,20.8,22.16
1,13.28,34.35,Low,11,0,18.72,21.59
2,20.65,36.12,High,21,3,54.65,54.11
1,12.41,52.26,Medium,19,4,20.35,18.09
1,17.2,31.49,Medium,11,2,41.35,41.35
2,27.81,41.51,Low,20,1,39.8,38.45
1,15.06,50.55,Low,7,4,15.85,16.72
1,14.09,32.53,Medium,12,1,32.63,34.09
3,44.68,49.63,Medium,3,6,70.16,68.77
3,43.4,25.59,Medium,15,0,129.85,128.03
1,13.1,39.35,Low,8,0,19.81,19.98
2,29.33,25.55,Medium,16,1,89.74,86.86
2,24.83,45.25,Medium,18,6,39.41,41.81
3,37.65,38.79,High,19,3,91.69,93.49
3,32.77,53.48,Low,5,2,38.5,37.62
1,17.21,27.8,Low,4,2,36.48,36.99
1,17.39,40.3,Medium,2,1,31.48,31.04
3,39.18,32.6,High,18,0,112.47,114.76
1,13.24,41.48,Low,2,6,19.12,17.71
2,23.74,42.72,Low,23,3,31.73,32.1
1,15.6,46.84,High,20,4,35.79,32.91
3,42.09,48.68,Low,4,3,54.53,53.14
1,17.9,28.43,Low,4,1,35.18,37.9
2,21.48,45.95,Low,0,0,25.61,27.8
1,15.68,50.96,Medium,17,2,23.26,21.35
1,12.94,40.77,Medium,12,1,27.82,25.4
3,42.57,25.44,Medium,3,6,124.95,125.19
1,16.15,31.54,Medium,14,3,37.87,39.63
3,37.9,26.39,Medium,20,3,104.43,106.36
3,42.72,53.23,Low,11,3,48.86,46.42
1,15.26,50.25,Medium,7,3,20.74,21.38
3,36.05,49.97,Low,22,4,42.44,43.96
2,28.92,25.99,Medium,10,4,83.97,83.68
3,30.16,26.19,Medium,2,2,87.93,86.9
1,13.5,26.72,High,19,3,51.18,49.52
1,14.42,41.57,Medium,10,0,26.33,26.04
3,39.3,46.26,Medium,1,0,59.81,62.51
3,37.16,27.96,High,11,0,126.63,128.57
1,15.69,27.33,Low,13,1,36.59,36.04
3,35.89,30.73,Low,3,1,68.43,69.72
1,13.28,41.59,Low,5,3,21.51,19.06
1,14.86,51.47,High,1,5,28.02,27.15
3,31.37,52.78,High,3,6,57.88,58.59
1,15.27,26.94,High,17,5,52.66,54.26
3,32.07,37.02,Low,23,4,55.1,52.82
2,28.24,38.58,Medium,16,6,55.08,56.5
3,31.43,50.59,Low,2,6,37.32,37.79
1,15.74,25.18,High,9,5,58.35,60.35
1,17.37,43.74,Low,19,4,28.4,25.68
1,16.45,26.58,Medium,1,0,43.16,46.11
3,31.66,36.78,High,20,2,86.56,84.56
3,36.24,27.33,High,4,5,125.76,127.31
1,12.64,25.6,High,3,6,43.94,45.94
2,21.23,34.18,Medium,11,4,44.87,44.84
1,14.55,50.53,Medium,5,6,19.81,19.89
3,44.9,46.86,Medium,14,3,73.33,70.49
2,26.71,30.79,Low,20,6,53.66,53.47
1,12.97,30.68,Medium,9,3,27.1,29.9
3,40.82,35.29,Medium,7,4,88.58,88.5
3,33.6,42.06,Low,1,5,46.55,47.16
3,42.75,43.54,High,3,5,94.06,93.16
1,12.12,41.08,Low,14,2,18.89,17.15
1,15.01,49.79,Medium,9,4,22.94,21.34
3,34.0,54.42,Low,4,6,35.33,37.16
1,13.45,50.76,High,14,6,26.15,25.28
2,24.94,51.05,Low,4,6,31.24,31.22
1,13.45,38.45,Low,21,1,18.73,20.68
1,12.79,49.53,Low,0,6,13.82,14.01
1,17.13,31.25,Medium,0,2,43.13,41.9
1,13.46,51.89,Low,6,3,14.81,17.18
3,30.68,38.43,Low,16,2,52.2,49.33
2,29.83,41.35,Low,14,6,42.41,41.9
1,16.11,29.7,Medium,5,2,42.96,40.77
2,25.61,51.49,Low,15,1,32.3,30.67
3,35.34,43.62,High,22,2,79.67,77.73
1,12.48,34.98,Low,15,5,23.65,21.33
3,32.48,44.64,High,7,6,70.75,69.66
1,15.04,53.36,Low,2,2,19.16,17.07
3,41.36,45.98,Low,23,5,56.56,55.2
2,24.03,49.13,Low,15,5,30.45,27.89
1,12.54,40.27,Low,20,3,19.08,16.9
1,14.9,39.11,High,6,5,35.28,37.41
3,35.37,42.91,Low,12,2,46.96,49.33
3,42.43,40.36,Low,20,3,62.11,62.48
1,13.75,41.59,High,8,2,31.23,30.04
3,32.42,41.69,Low,8,1,46.41,46.32
3,31.31,30.01,Medium,3,6,76.25,79.25
1,17.47,28.83,High,15,3,57.82,57.87
3,39.5,49.57,Low,23,2,47.07,48.49
3,41.43,40.68,Low,12,1,64.12,62.29
1,13.2,32.87,Low,4,1,26.54,24.21
2,21.21,50.75,Medium,21,2,33.82,33.08
2,21.78,46.52,Medium,21,0,34.35,34.92
2,22.83,37.78,Medium,10,4,47.66,46.29
3,39.0,46.49,Low,14,6,52.81,50.63
1,14.84,35.39,High,7,2,38.84,38.56
3,32.15,45.48,Low,15,3,46.04,44.07
3,39.41,33.96,Low,5,2,67.86,69.89
3,42.42,30.83,High,16,2,134.17,132.11
3,30.7,54.99,Low,11,4,34.19,34.97
3,42.46,53.18,Low,17,3,47.35,45.92
3,31.59,25.67,Medium,19,4,91.29,91.59
1,12.4,28.52,Low,22,1,23.95,25.25
1,17.9,33.66,Low,10,6,32.94,33.46
3,42.03,32.16,Medium,5,3,97.24,99.08
1,12.35,48.84,Low,23,2,12.82,13.48
3,43.34,50.72,Medium,0,1,61.77,63.57
3,32.62,40.46,Low,9,6,50.64,49.41
3,39.77,42.7,Low,22,3,57.47,55.44
1,13.67,53.16,High,9,6,23.23,25.28
3,36.74,45.78,High,8,1,81.11,78.29
3,41.5,50.83,Medium,3,0,59.87,59.65
2,25.12,28.76,Low,3,5,53.67,53.1
3,39.24,30.35,Medium,4,1,96.49,96.39
3,32.77,29.38,Low,1,0,64.43,65.3
2,22.45,39.92,Medium,19,3,41.23,43.77
3,31.33,45.3,Low,0,0,38.33,39.96
3,34.87,32.97,Low,12,3,58.83,61.67
3,36.31,39.87,Medium,14,4,70.51,69.74
3,40.99,40.86,Low,12,5,61.59,59.09
1,15.33,36.57,High,8,4,40.3,40.29
3,40.45,31.91,Low,0,0,72.87,74.69
2,29.32,51.75,High,19,0,54.99,56.1
1,12.91,30.48,High,14,3,38.52,41.04
1,17.19,49.08,Medium,17,1,28.23,27.44
1,16.71,37.48,Low,18,2,23.27,25.93
3,43.33,43.72,Low,5,1,57.0,58.17
2,25.97,25.16,Low,18,4,62.79,62.23
1,15.62,33.24,Medium,4,5,38.41,36.32
2,20.22,49.75,Low,20,0,24.61,24.71
2,24.55,27.81,Low,4,5,52.83,53.78
1,12.67,52.44,Low,1,5,15.38,13.22
1,12.48,53.54,High,15,0,22.57,24.29
2,27.28,29.0,Medium,9,5,67.83,69.15
2,23.76,30.51,Medium,16,0,61.11,58.16
1,17.24,45.44,Low,14,1,23.94,24.58
3,32.74,25.5,Medium,7,4,94.05,96.78
2,27.63,42.65,Medium,14,3,46.29,46.83
3,33.58,48.38,Low,23,5,39.07,40.47
2,21.16,36.61,Medium,20,6,46.22,43.72
2,27.0,34.11,Low,11,4,49.3,46.31
1,16.89,53.11,Low,15,1,16.13,18.77
2,26.93,41.04,Medium,19,0,49.88,48.59
3,35.51,27.31,High,21,3,126.79,124.67
3,32.78,43.74,Low,20,2,45.89,45.54
1,17.25,42.43,High,4,5,38.95,37.89
2,22.82,43.55,Low,22,3,27.64,29.79
1,12.1,40.2,Low,23,5,18.0,17.76
1,12.45,52.44,Low,4,1,14.91,13.26
3,38.86,32.12,Low,20,3,70.05,72.31
1,17.3,52.36,Medium,0,1,25.84,25.0
1,12.18,38.9,Low,15,4,17.14,17.71
3,41.62,33.03,Medium,12,0,93.68,94.98
3,36.27,33.63,Low,23,2,67.05,66.07
2,29.5,50.08,Low,4,6,33.96,34.56
3,38.82,42.41,Low,13,3,50.7,53.11
1,14.31,35.17,Low,15,5,23.53,23.11
2,28.6,36.22,High,2,4,74.94,74.56
